Measurement date,O3
2018-05-25,0.03204166666666668
2018-05-26,0.04649999999999999
2018-05-27,0.04054166666666668
2018-05-28,0.03804166666666667
2018-05-29,0.032833333333333346
2018-05-30,0.02983333333333334
2018-05-31,0.03145833333333334
2018-06-01,0.029041666666666674
2018-06-02,0.03000000000000001
2018-06-03,0.03358333333333335
2018-06-04,0.024125000000000004
2018-06-05,0.03995833333333334
2018-06-06,0.03341666666666667
2018-06-07,0.023958333333333335
2018-06-08,0.030000000000000002
2018-06-09,0.03341666666666667
2018-06-10,0.032916666666666684
2018-06-11,0.024333333333333342
2018-06-12,0.024916666666666667
2018-06-13,0.03133333333333334
2018-06-14,0.028625000000000008
2018-06-15,0.029
2018-06-16,0.03570833333333333
2018-06-17,0.035125
2018-06-18,0.03479166666666667
2018-06-19,0.026208333333333337
